id,name,album,genres,artist,release_date,popularity,duration_ms,explicit,external_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_score,multiplier,music_score,breathing_score
7z7kvUQGwlC6iOl7vMuAr9,Dancing In The Flames,Dancing In The Flames,"canadian contemporary r&b, canadian pop, pop",The Weeknd,2024-09-13,85,220036,False,https://open.spotify.com/track/7z7kvUQGwlC6iOl7vMuAr9,0.552,0.73,1,-6.203,1,0.0381,0.0011,0.0,0.0837,0.162,116.875,4,0.9200089691778751,0.9739583333333334,0.45698958333333334,0.7656691738963612
5JRYVSZ6K2jY0kznYBmoqr,Wind Up Missin' You,Wind Up Missin' You,modern country pop,Tucker Wetmore,2024-03-29,27,166040,False,https://open.spotify.com/track/5JRYVSZ6K2jY0kznYBmoqr,0.566,0.734,6,-5.631,1,0.0349,0.523,0.0,0.124,0.619,171.829,4,0.8575424334131464,0.9546055555555556,0.57365625,0.7629137056087641
102YUQbYmwdBXS7jwamI90,Good Graces,Short n' Sweet,pop,Sabrina Carpenter,2024-08-23,87,185265,True,https://open.spotify.com/track/102YUQbYmwdBXS7jwamI90,0.758,0.759,5,-5.315,1,0.0479,0.329,3.96e-06,0.144,0.732,126.012,4,0.8570723200374606,1.0501,0.5329400783333333,0.7490282394694182
4t4rGgiVX7woTmlnW9SHJ7,Residuals,11:11 (Deluxe),"r&b, rap",Chris Brown,2024-04-11,70,215178,False,https://open.spotify.com/track/4t4rGgiVX7woTmlnW9SHJ7,0.58,0.645,6,-7.793,0,0.0821,0.342,0.0,0.108,0.171,114.905,4,0.8671820396792724,0.9575416666666666,0.4960020833333333,0.7434553875639595
19RybK6XDbAVpcdxSbZL1o,Apple,BRAT,"art pop, candy pop, metropopolis, pop, uk pop",Charli xcx,2024-06-07,85,151739,False,https://open.spotify.com/track/19RybK6XDbAVpcdxSbZL1o,0.804,0.957,0,-5.452,1,0.034,0.125,0.0174,0.114,0.962,126.035,4,0.8565507958451599,1.0502916666666666,0.5130666666666667,0.7420560861189954
24XihnoVPWXlKJ4BgXqjVM,It's ok I'm ok,It's ok I'm ok,pop,Tate McRae,2024-09-12,85,156521,True,https://open.spotify.com/track/24XihnoVPWXlKJ4BgXqjVM,0.754,0.514,1,-7.721,0,0.0471,0.0257,3.98e-05,0.0808,0.363,114.997,4,0.8696893730616336,0.9583083333333333,0.4830195583333334,0.7407994348188668
7fveJ3pk1eSfxBdVkzdXZ0,Cowgirls (feat. ERNEST),One Thing At A Time,contemporary country,"Morgan Wallen, ERNEST",2023-03-03,83,181621,False,https://open.spotify.com/track/7fveJ3pk1eSfxBdVkzdXZ0,0.621,0.779,8,-3.777,1,0.0361,0.216,8.62e-06,0.165,0.399,172.037,4,0.8613433292161198,0.9557611111111112,0.49386982749999997,0.7388521619774132
36wAwEkSDpNQ4oQeRLYC3L,Am I Okay?,Am I Okay?,"contemporary country, modern country pop",Megan Moroney,2024-07-12,75,235002,False,https://open.spotify.com/track/36wAwEkSDpNQ4oQeRLYC3L,0.593,0.734,9,-5.416,1,0.0514,0.02,0.0,0.138,0.518,125.937,4,0.8587742657716279,1.049475,0.4914166666666667,0.7363217327366408
0BKLYnngsUyaEwWPOJjGxc,Liar,Liar,"country rap, modern country pop, nashville hip hop, tennessee hip hop",Jelly Roll,2024-08-09,68,204933,False,https://open.spotify.com/track/0BKLYnngsUyaEwWPOJjGxc,0.642,0.773,1,-5.233,1,0.0323,0.0468,0.0,0.0901,0.568,114.035,4,0.8432713638222077,0.9502916666666666,0.4987729166666667,0.728438548103694
6WatFBLVB0x077xWeoVc2k,Si Antes Te Hubiera Conocido,Si Antes Te Hubiera Conocido,"reggaeton, reggaeton colombiano, urbano latino",KAROL G,2024-06-21,93,195824,False,https://open.spotify.com/track/6WatFBLVB0x077xWeoVc2k,0.924,0.668,11,-6.795,1,0.0469,0.446,0.000594,0.0678,0.787,128.027,4,0.8120931673122265,1.0668916666666666,0.5517055000000001,0.725297278208151
4BjEz7HIK0Ja4tsyNj65HV,Change Me,Change Me,southern hip hop,BigXthaPlug,2024-09-27,64,137000,True,https://open.spotify.com/track/4BjEz7HIK0Ja4tsyNj65HV,0.83,0.622,6,-5.405,0,0.204,0.0979,0.0,0.0718,0.0489,125.019,4,0.8797715443520968,1.041825,0.4161145833333334,0.725219224012509
3lUYO6zvXI88sNDpyKvIJ2,Or What,Or What,"memphis hip hop, rap","NLE Choppa, 41, Kyle Richh",2024-09-06,78,199165,True,https://open.spotify.com/track/3lUYO6zvXI88sNDpyKvIJ2,0.731,0.586,1,-7.564,0,0.172,0.116,0.0,0.0987,0.147,125.845,4,0.8608647563379126,1.0487083333333334,0.4436541666666667,0.7217945597808306
